problem_id,problem_number,title,description,status,priority,root_cause,root_cause_ci_id,known_error,known_error_description,workaround,category,owner,assigned_to,related_incident_count,related_incident_ids,created_at,identified_at,resolved_at,closed_at
9945bf02-b8a5-4709-b4f5-0b62d84a270e,PRB0000001,Recurring application issues - Inadequate resource provisioning,Investigation into recurring application incidents. Multiple incidents reported with similar symptoms pointing to inadequate resource provisioning.,in_progress,P2,,8e8c4b95-2ca1-49e4-b129-c676fee1a2de,false,,,Application,Sarah Johnson,Emily Davis,7,"[""f6e8bc13-243b-4383-b58b-1fb399004655"", ""c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b"", ""fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753"", ""5bb44340-78ff-467a-93df-c70704651895"", ""6d57a107-8a4a-4790-920e-58b8b9abd566"", ""8ba8b8cd-12b0-477e-bc23-26e3604863fb"", ""43b979e5-3f19-453e-ab28-2f7cafa04329""]",2025-12-10 10:06:06,2025-12-19 10:06:06,,
6b069665-5f3c-41c4-b847-b974daeaf845,PRB0000002,Recurring performance issues - Database query optimization needed,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to database query optimization needed.,closed,P1,Database query optimization needed,,false,,,Performance,David Wilson,James Brown,2,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0""]",2025-07-19 15:04:57,2025-07-25 15:04:57,2025-08-23 15:04:57,2025-08-27 15:04:57
f675241f-c6d6-4967-85ba-4b843d8e09c5,PRB0000003,Recurring network issues - Database query optimization needed,Investigation into recurring network incidents. Multiple incidents reported with similar symptoms pointing to database query optimization needed.,in_progress,P1,,92dcacfe-61e1-4ab5-9b98-a3fd80a32be5,true,Known issue: Database query optimization needed,Read replicas promoted temporarily,Network,Lisa Anderson,David Wilson,9,"[""9880e99a-46f3-436a-9cc5-29cd0febe560"", ""d57cb689-7b0f-479f-b683-097937ec198b"", ""ee930329-91a7-489b-88f1-2526f939b6d4"", ""40b798ff-fd6d-4abd-82cb-d11f5553802b"", ""33e079a8-b505-490c-88f2-56d9286a572e"", ""2ebef59f-ff33-4a50-9346-f395f1564562"", ""bacfd646-7573-48b9-9d02-69e942e23d86"", ""0e7eac3d-8bc8-4159-af1a-b5c311873db3"", ""dbcc5bcb-034c-40ba-9e24-28d99b1247a6""]",2025-07-23 18:11:14,2025-07-28 18:11:14,,
8770f530-639d-4010-b9d0-49678c4cac52,PRB0000004,Recurring network issues - Disk I/O bottleneck,Investigation into recurring network incidents. Multiple incidents reported with similar symptoms pointing to disk i/o bottleneck.,in_progress,P2,,b0c9bb08-2970-4fd8-bf05-3afe018b769d,false,,,Network,David Wilson,Kevin Thompson,9,"[""9880e99a-46f3-436a-9cc5-29cd0febe560"", ""d57cb689-7b0f-479f-b683-097937ec198b"", ""ee930329-91a7-489b-88f1-2526f939b6d4"", ""40b798ff-fd6d-4abd-82cb-d11f5553802b"", ""33e079a8-b505-490c-88f2-56d9286a572e"", ""2ebef59f-ff33-4a50-9346-f395f1564562"", ""bacfd646-7573-48b9-9d02-69e942e23d86"", ""0e7eac3d-8bc8-4159-af1a-b5c311873db3"", ""dbcc5bcb-034c-40ba-9e24-28d99b1247a6""]",2025-06-23 20:53:16,2025-06-25 20:53:16,,
0b7b0f85-6b52-4744-b683-2dda874b349c,PRB0000005,Recurring data issues - Cache invalidation issue,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to cache invalidation issue.,open,P1,,587e6082-6f52-46aa-9362-188335e0ee2f,false,,,Data,Lisa Anderson,Kevin Thompson,2,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15""]",2025-11-28 01:00:06,2025-12-06 01:00:06,,
0d3def17-4fc7-4c31-b680-c35977307b45,PRB0000006,Recurring application issues - DNS propagation delay,Investigation into recurring application incidents. Multiple incidents reported with similar symptoms pointing to dns propagation delay.,closed,P4,DNS propagation delay,ad4fae2e-e2a8-44f5-abc3-21152c8b1acd,true,Known issue: DNS propagation delay,Direct database access provided,Application,David Wilson,Emily Davis,3,"[""f6e8bc13-243b-4383-b58b-1fb399004655"", ""c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b"", ""fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753""]",2025-08-08 14:18:57,2025-08-11 14:18:57,2025-09-30 14:18:57,2025-10-07 14:18:57
8cdd48ae-a42a-4117-a26b-8b1b42c0f42c,PRB0000007,Recurring application issues - Network misconfiguration,Investigation into recurring application incidents. Multiple incidents reported with similar symptoms pointing to network misconfiguration.,closed,P4,Network misconfiguration,,false,,,Application,John Smith,Michelle Robinson,7,"[""f6e8bc13-243b-4383-b58b-1fb399004655"", ""c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b"", ""fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753"", ""5bb44340-78ff-467a-93df-c70704651895"", ""6d57a107-8a4a-4790-920e-58b8b9abd566"", ""8ba8b8cd-12b0-477e-bc23-26e3604863fb"", ""43b979e5-3f19-453e-ab28-2f7cafa04329""]",2025-06-29 14:49:56,2025-07-05 14:49:56,2025-09-01 14:49:56,2025-09-09 14:49:56
c8a849c2-b697-4077-85ab-0cc030f5bb15,PRB0000008,Recurring security issues - Network misconfiguration,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to network misconfiguration.,closed,P3,Network misconfiguration,4a796ef7-1079-4e16-913b-f2d9863de199,true,Known issue: Network misconfiguration,Caching bypass implemented,Security,Robert Taylor,Kevin Thompson,2,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12""]",2025-10-08 23:24:23,2025-10-11 23:24:23,2025-12-01 23:24:23,2025-12-06 23:24:23
f3333d2f-c4bc-49c7-8d6a-d1cc1ee1bfb9,PRB0000009,Recurring security issues - Insufficient logging/monitoring,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to insufficient logging/monitoring.,closed,P2,Insufficient logging/monitoring,,true,Known issue: Insufficient logging/monitoring,Feature flag disabled,Security,John Smith,Amanda White,9,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0"", ""192978a2-4f96-45a9-9265-bb8a65f9be78"", ""28a1cb94-8f05-4aa7-a00d-d0cfd5c53d89""]",2025-03-13 23:55:44,2025-03-22 23:55:44,2025-03-29 23:55:44,2025-04-10 23:55:44
80b31b59-0149-460f-a775-0e789c1cb3a0,PRB0000010,Recurring data issues - Disk I/O bottleneck,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to disk i/o bottleneck.,in_progress,P4,,f237a3e1-b381-4e50-b82d-03060674d7a7,false,,,Data,Michelle Robinson,Michelle Robinson,8,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15"", ""ae3eaf01-23db-4786-9cdd-1b3723d0116a"", ""387ee40b-64b3-47e0-9643-bfb11dd34c55"", ""7bc0ffff-7dd0-4b57-bfb9-f00816ad205b"", ""a602a126-c977-400c-bc51-83ddfc2cbba9"", ""73d73b9e-35e6-432e-bcbc-02b8564479ea"", ""e6ddb94c-1c71-49c4-85ce-6791cfcf072e""]",2025-07-22 01:09:44,2025-08-04 01:09:44,,
