change_id,change_number,title,description,change_type,status,risk_level,computed_risk_score,affected_ci_id,affected_service_id,category,reason,implementation_plan,rollback_plan,test_plan,requested_by,assigned_to,approved_by,implemented_by,scheduled_start,scheduled_end,actual_start,actual_end,created_at,approved_at,closed_at,success,failure_reason,caused_incident
fd94a78e-67af-4c75-94ca-3d2d6dcb7261,CHG0000001,Optimization: cloudfunction-dr-0023,Optimization for cloudfunction-dr-0023. This change involves optimization activities.,emergency,open,critical,0.9988,28baef15-150c-430e-82e0-360eb9adc360,dfee32ff-83a9-4f98-b35e-f6ec754fd1e6,Optimization,Required optimization to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply optimization
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Jennifer Martinez,Sarah Johnson,,,2026-01-09 08:09:29,2026-01-09 16:09:29,,,2025-12-28 08:09:29,,,,,false
87a51fbd-e5f4-4619-ae8e-08a83e5038d3,CHG0000002,Maintenance Window: ecs-instance-stag-0242,Maintenance Window for ecs-instance-stag-0242. This change involves maintenance window activities.,standard,pending,high,0.6857,edef77e3-a7d2-4de9-8701-041db8585df4,eab1fa5b-ffa4-4067-bcce-6ce998814034,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Christopher Lee,Jessica Garcia,,,2025-12-26 11:47:12,2025-12-26 14:47:12,,,2025-12-20 11:47:12,,,,,false
340432d4-7b38-420a-9b00-fd315a1f12cd,CHG0000003,Maintenance Window: web-prod-0178,Maintenance Window for web-prod-0178. This change involves maintenance window activities.,normal,resolved,high,0.7139,1a4189a7-ca6e-401a-9faf-db9ce91da8b0,,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",David Wilson,Christopher Lee,Jessica Garcia,Kevin Thompson,2025-12-02 05:48:44,2025-12-02 12:48:44,2025-12-02 05:45:44,2025-12-02 06:45:44,2025-11-21 05:48:44,2025-11-23 07:48:44,2025-12-02 06:45:44,true,,false
b3c35422-dc65-427b-94a6-abb540404ad7,CHG0000004,Configuration Change: haproxy-prod-0176,Configuration Change for haproxy-prod-0176. This change involves configuration change activities.,normal,resolved,medium,0.5051,b6a78847-afbe-458d-8598-8b24a8aec9a3,,Configuration Change,Required configuration change to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply configuration change
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",James Brown,Daniel Harris,Michael Chen,Michelle Robinson,2026-01-31 17:05:20,2026-01-31 23:05:20,2026-01-31 17:29:20,2026-01-31 22:29:20,2026-01-21 17:05:20,2026-01-22 17:05:20,2026-01-31 22:29:20,true,,false
4c495e37-a8eb-44db-8d69-03ed17175da5,CHG0000005,New Deployment: nfs-test-0054,New Deployment for nfs-test-0054. This change involves new deployment activities.,emergency,closed,high,0.7604,b3736eb9-b219-4e71-85b8-f6a773af7465,7fa559bc-2833-4dcf-ac5b-1e2401d09160,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Laura Clark,Emily Davis,Christopher Lee,Jessica Garcia,2025-12-16 07:50:56,2025-12-16 10:50:56,2025-12-16 08:03:56,2025-12-16 14:03:56,2025-12-05 07:50:56,2025-12-06 16:50:56,2025-12-16 14:03:56,true,,false
153ac205-d187-4d48-85a7-d723510daf86,CHG0000006,Migration: kafka-prod-0180,Migration for kafka-prod-0180. This change involves migration activities.,normal,resolved,high,0.6999,ffbae98c-2274-4ceb-86e6-1ce97c090642,,Migration,Required migration to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply migration
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",James Brown,John Smith,Emily Davis,Laura Clark,2026-02-02 15:40:57,2026-02-02 23:40:57,2026-02-02 16:03:57,2026-02-02 22:03:57,2026-01-29 15:40:57,2026-01-30 14:40:57,2026-02-02 22:03:57,true,,false
36e1e333-abb1-4c65-ae70-d5529af95d9a,CHG0000007,Capacity Expansion: auth-prod-0208,Capacity Expansion for auth-prod-0208. This change involves capacity expansion activities.,standard,pending,medium,0.3423,01ce1a73-0693-4883-89ee-1e755d1ad318,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Capacity Expansion,Required capacity expansion to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply capacity expansion
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",James Brown,John Smith,,,2025-12-10 07:32:24,2025-12-10 09:32:24,,,2025-11-29 07:32:24,,,,,false
6f35c0c0-488a-4dc7-8d55-27ef3bb06b36,CHG0000008,Hardware Upgrade: ceph-prod-0037,Hardware Upgrade for ceph-prod-0037. This change involves hardware upgrade activities.,standard,in_progress,low,0.1536,cab96c00-b6a3-4909-9176-6d0efba398d0,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Hardware Upgrade,Required hardware upgrade to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply hardware upgrade
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Amanda White,Christopher Lee,Daniel Harris,Jessica Garcia,2026-01-05 16:08:19,2026-01-05 22:08:19,2026-01-05 15:38:19,,2025-12-29 16:08:19,2025-12-31 23:08:19,,,,false
5c640c87-af79-4585-a621-81ce38cd326b,CHG0000009,Rollback: Infrastructure,Rollback for infrastructure. This change involves rollback activities.,standard,resolved,high,0.6082,,,Rollback,Required rollback to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply rollback
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Robert Taylor,Laura Clark,Daniel Harris,Emily Davis,2026-01-27 13:19:56,2026-01-27 21:19:56,2026-01-27 13:20:56,2026-01-27 16:20:56,2026-01-16 13:19:56,2026-01-16 21:19:56,2026-01-27 16:20:56,true,,false
152d4307-0e25-4895-a52b-f7a2fe66e115,CHG0000010,Maintenance Window: Infrastructure,Maintenance Window for infrastructure. This change involves maintenance window activities.,normal,resolved,high,0.6479,,,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Michael Chen,Jennifer Martinez,Emily Davis,Kevin Thompson,2025-11-07 01:38:31,2025-11-07 09:38:31,2025-11-07 01:38:31,2025-11-07 04:38:31,2025-11-06 01:38:31,2025-11-06 16:38:31,2025-11-07 04:38:31,true,,false
