incident_id,incident_number,title,description,severity,priority,status,affected_ci_id,affected_service_id,category,subcategory,impact_scope,reported_by,assigned_to,assignment_group,created_at,acknowledged_at,resolved_at,closed_at,resolution_time_minutes,sla_breached,is_major_incident
9880e99a-46f3-436a-9cc5-29cd0febe560,INC0000001,Routing issues - redis-stag-0186,Routing issues detected on redis-stag-0186. Impact: network related issue affecting service availability.,medium,P3,open,eae4ce4a-9426-49a3-86f7-6998848679bd,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Network,Routing issues,widespread,Sarah Johnson,James Brown,Platform Engineering,2025-11-23 05:02:38,,,,,false,false
243430a8-852a-4e39-a2a7-13b4437d645b,INC0000002,Vulnerability detected - haproxy-test-0043,Vulnerability detected detected on haproxy-test-0043. Impact: security related issue affecting service availability.,low,P4,closed,6a84a1e9-55b6-4960-a0fc-54e5b1330352,5dde88a6-aa1b-4250-9502-369757c5ad99,Security,Vulnerability detected,limited,Kevin Thompson,Michelle Robinson,Data Engineering,2025-09-09 14:19:45,2025-09-09 14:59:45,2025-09-09 18:01:45,2025-09-10 00:01:45,222,false,false
ca5a9e63-326e-4c38-b1b1-f0396c4ad317,INC0000003,Service down - k8s-node-deve-0220,Service down detected on k8s-node-deve-0220. Impact: availability related issue affecting service availability.,medium,P3,closed,a5f38f7f-1eca-4e37-9d3d-8e7a401d1fb7,a5f8b430-fb1f-4c8b-b042-5fe74b8fada9,Availability,Service down,limited,Laura Clark,Laura Clark,Data Engineering,2025-10-30 22:37:03,2025-10-30 23:03:03,2025-10-31 00:33:03,2025-10-31 23:33:03,116,false,false
f6e8bc13-243b-4383-b58b-1fb399004655,INC0000004,Configuration error - k8s-node-prod-0293,Configuration error detected on k8s-node-prod-0293. Impact: application related issue affecting service availability.,low,P4,in_progress,754ff9c8-947e-40b0-a868-92164576adca,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Application,Configuration error,localized,James Brown,Michael Chen,Customer Experience,2025-11-11 12:10:09,2025-11-11 13:26:09,,,,false,false
c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b,INC0000005,Thread deadlock - nlb-stag-0235,Thread deadlock detected on nlb-stag-0235. Impact: application related issue affecting service availability.,low,P4,resolved,828fad52-9d43-4446-91c0-f8690e9fa608,f9c1269b-0495-436f-b7f9-ba6e77ec6bda,Application,Thread deadlock,widespread,Michelle Robinson,Robert Taylor,Data Engineering,2025-09-11 05:59:31,2025-09-11 07:54:31,2025-09-11 08:56:31,,177,false,false
bef36064-65b0-42cf-a667-7b3e71ad715b,INC0000006,Failover triggered - nginx-deve-0297,Failover triggered detected on nginx-deve-0297. Impact: availability related issue affecting service availability.,low,P4,closed,c20a31d9-6b75-4fa0-8f8a-7b433bbc9e25,ee0ab07b-68f0-4e1e-b88f-9ceeb03e83c7,Availability,Failover triggered,limited,Lisa Anderson,Daniel Harris,Network Operations,2025-08-28 13:08:10,2025-08-28 13:40:10,2025-08-28 19:44:10,2025-08-29 08:44:10,396,true,false
fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753,INC0000007,Application crash - f5-test-0187,Application crash detected on f5-test-0187. Impact: application related issue affecting service availability.,medium,P3,closed,a5c64c89-6e19-4330-87bc-9ba55b6d53f8,9c1bf4ca-cf8a-451e-a0a4-3af8f7f10f65,Application,Application crash,widespread,Laura Clark,Kevin Thompson,DevOps,2025-08-08 22:48:04,2025-08-09 00:47:04,2025-08-09 01:40:04,2025-08-10 10:40:04,172,false,false
d57cb689-7b0f-479f-b683-097937ec198b,INC0000008,Routing issues - app-stag-0172,Routing issues detected on app-stag-0172. Impact: network related issue affecting service availability.,medium,P3,resolved,be8068dd-2ddd-4788-a1ec-e795f8dfea6f,,Network,Routing issues,limited,Lisa Anderson,Lisa Anderson,Data Engineering,2025-09-02 18:12:32,2025-09-02 19:15:32,2025-09-02 22:06:32,,234,false,false
5bb44340-78ff-467a-93df-c70704651895,INC0000009,Configuration error - ceph-deve-0051,Configuration error detected on ceph-deve-0051. Impact: application related issue affecting service availability.,medium,P3,resolved,5f85e54f-646d-4db7-8410-79858a40a14b,,Application,Configuration error,widespread,Michelle Robinson,Emily Davis,SRE,2025-08-26 15:35:14,2025-08-26 15:51:14,2025-08-26 21:22:14,,347,true,false
ee930329-91a7-489b-88f1-2526f939b6d4,INC0000010,DNS resolution failure - dns-stag-0258,DNS resolution failure detected on dns-stag-0258. Impact: network related issue affecting service availability.,low,P4,closed,d1311b0f-14c8-4441-8e92-503f411974e0,8187278d-5d57-4ddc-9876-8c1f5b01debf,Network,DNS resolution failure,widespread,Jennifer Martinez,Kevin Thompson,Data Engineering,2025-12-30 12:59:45,2025-12-30 14:29:45,2025-12-30 15:42:45,2025-12-31 18:42:45,163,false,false
