ci_id,ci_name,ci_type,service_id,description,environment,status,version,ip_address,hostname,operating_system,cpu_cores,memory_gb,storage_gb,cloud_provider,cloud_region,cost_per_month,health_status,last_health_check,created_at,updated_at
aef14eab-b503-4490-a376-6d32d158c896,rabbitmq-prod-0001,message_queue,,Message Queue for rabbitmq workload,production,open,3.11,10.186.20.231,rabbitmq-prod-0001.internal.example.com,,13,43,251,Azure,eastus,229.04,healthy,2026-01-31 11:04:28,2025-09-08 16:26:52,2025-09-23 16:26:52
96efae68-2104-4c97-a2d1-12454065d356,mongodb-deve-0002,database,,Database for mongodb workload,development,open,8.0,10.170.210.206,mongodb-deve-0002.internal.example.com,,23,474,3162,On-Premise,dc-west,1045.94,healthy,2026-01-31 11:00:28,2025-05-02 02:49:08,2025-06-22 02:49:08
c406eed2-8ab7-4171-891b-8d75824c81fa,switch-prod-0003,network,,Network for switch workload,production,open,1.0,10.116.114.7,switch-prod-0003.internal.example.com,,8,19,106,AWS,ap-southeast-1,128.6,healthy,2026-01-31 11:22:28,2025-05-14 04:34:00,2025-06-04 04:34:00
11d1aef4-dca3-48d1-aabc-784012d768bd,alb-dr-0004,load_balancer,8e1c81ff-9d7e-446d-849f-8ac123da8bef,Load Balancer for alb workload,dr,open,1.0,10.133.91.149,alb-dr-0004.internal.example.com,,14,61,187,GCP,europe-west1,252.63,unhealthy,2026-01-31 11:31:28,2025-07-19 12:48:45,2025-07-21 12:48:45
8c4d8322-e2e1-4373-b5bb-761b9c5313e1,elasticsearch-stag-0005,database,ad376f29-742f-47ef-8cc6-6deccdeaa394,Database for elasticsearch workload,staging,open,8.0,10.223.0.134,elasticsearch-stag-0005.internal.example.com,,15,229,9946,GCP,asia-east1,1442.34,degraded,2026-01-31 11:13:28,2025-05-08 21:04:54,2025-06-20 21:04:54
7ab713f5-2f7a-4a55-995b-ea60ec06292d,switch-stag-0006,network,ee0ab07b-68f0-4e1e-b88f-9ceeb03e83c7,Network for switch workload,staging,open,1.0,10.167.206.179,switch-stag-0006.internal.example.com,,7,32,126,GCP,europe-west1,131.94,healthy,2026-01-31 11:39:28,2025-10-17 23:04:06,2025-10-29 23:04:06
00a96c81-450f-40cf-8952-ec2c2a2fde41,activemq-deve-0007,message_queue,f24639db-705d-4ac1-a0be-3de9c28ea784,Message Queue for activemq workload,development,open,3.11,10.164.238.114,activemq-deve-0007.internal.example.com,,4,27,393,Azure,westeurope,126.64,healthy,2026-01-31 11:34:28,2025-05-19 03:27:34,2025-06-20 03:27:34
0bb99715-e901-46ae-bafb-8a5734066f6c,nfs-deve-0008,storage,c5bcb10b-185b-4c44-a597-6ced6cba68fe,Storage for nfs workload,development,open,1.0,10.23.125.252,nfs-deve-0008.internal.example.com,,3,29,21343,GCP,europe-west1,2000.07,healthy,2026-01-31 10:53:28,2025-05-26 19:03:28,2025-07-14 19:03:28
e486e606-c9b3-48db-bec0-4bffe4b83bcd,redis-stag-0009,database,5dde88a6-aa1b-4250-9502-369757c5ad99,Database for redis workload,staging,open,8.0,10.237.25.143,redis-stag-0009.internal.example.com,,17,367,590,Azure,southeastasia,914.85,healthy,2026-01-31 10:53:28,2025-03-27 03:17:12,2025-04-03 03:17:12
45b3a6c3-b60e-4c63-b36f-2c3a6b849a7d,nfs-test-0010,storage,8187278d-5d57-4ddc-9876-8c1f5b01debf,Storage for nfs workload,testing,open,1.0,10.243.230.67,nfs-test-0010.internal.example.com,,6,21,36905,GCP,asia-east1,3413.25,healthy,2026-01-31 10:54:28,2025-09-16 17:36:09,2025-10-26 17:36:09
51b1729d-df9c-440c-ba6c-98983704d299,f5-stag-0011,load_balancer,0b86f888-18fa-41d7-9f06-8e24157e707a,Load Balancer for f5 workload,staging,in_progress,1.0,10.41.70.39,f5-stag-0011.internal.example.com,,8,23,119,Azure,westeurope,131.0,healthy,2026-01-31 11:03:28,2025-07-21 23:26:52,2025-07-30 23:26:52
4c4a3187-86ab-42b5-883b-fb69657d7983,firewall-stag-0012,network,6284d7b3-c605-4370-93f9-97ab0da34b42,Network for firewall workload,staging,in_progress,1.0,10.194.244.2,firewall-stag-0012.internal.example.com,,8,17,149,GCP,asia-east1,116.01,degraded,2026-01-31 11:28:28,2025-11-26 12:31:08,2026-01-13 12:31:08
0379392c-03c1-4954-825f-fc3a305deaeb,activemq-stag-0013,message_queue,3630dfb9-c14d-4f28-a4f2-4de2fc2c434a,Message Queue for activemq workload,staging,open,3.11,10.239.65.252,activemq-stag-0013.internal.example.com,,11,9,498,Azure,southeastasia,168.91,healthy,2026-01-31 11:46:28,2025-07-23 02:31:42,2025-09-19 02:31:42
